,NO.,성우,연령,성별,상황키워드,감정_대분류,감정_소분류,사람문장1
2732,F_002733,KMJ,청소년,여성,학업 및 진로,분노,안달하는,수업 시간에 몰래 소설책을 읽다가 선생님께 뺏겼어. 돌려받지 못할 것 같아 두려워.
2733,F_002734,KMJ,청소년,여성,학업 및 진로,분노,안달하는,내가 숙제를 걷는 담당인데 기한 내에 빨리 안내는 친구 때문에 애타고 신경 쓰여.
2734,F_002735,KMJ,청년,여성,대인관계,분노,안달하는,대학 입학 때부터 친했던 친구가 언제부터인가 나를 무시하는 기분이 들어 화가 나.
2735,F_002736,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,사랑한다는 말을 많이 하면 매달리는 것처럼 보일까 봐 참고 있어.
2736,F_002737,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,배 속의 아이가 건강하게 태어나야 할텐데 걱정되네.
2737,F_002738,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,사람들이 선남선녀라 하는 저 커플이 깨졌으면 좋겠어.
2738,F_002739,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,애인이 날 좋아하는 거보다 내가 애인을 더 좋아하는 거 같아.
2739,F_002740,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,연락이 닿지 않는 애인에게 욕설이 가득한 문자를 보냈어.
2740,F_002741,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,싸워서 화가 난 내게 아무런 연락도 없는 애인에게 먼저 연락을 할지 고민이야.
2741,F_002742,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,남자에게 늘 당하면서 남자 없이는 못 사는 친구에게 잔소리하려고 해.
2742,F_002743,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,안 좋게 헤어진 전 연인이 내 꿈에 나왔어. 자꾸 생각이나.
2743,F_002744,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,연애를 못 해 안달 난 친구가 있는데 이따금 거슬려.
2744,F_002745,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,남자친구와 싸워서 기분이 안 좋은데도 또 보고 싶은 게 참 속상해.
2745,F_002746,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,전 남자친구에게 내가 행복하게 사는 모습을 보여주려고 에스엔에스에 사진을 올렸어.
2746,F_002747,KMJ,청년,여성,"연애,결혼,출산",분노,안달하는,애인이 내게서 마음이 떠난 것 같지만 다시 나에게 돌아왔으면 해.
2747,F_002748,KMJ,청년,여성,대인관계,분노,안달하는,부산 역에서 열두시에 만나기로 한 친구를 한시까지도 기다리고 있어.
2748,F_002749,KMJ,청년,여성,대인관계,분노,안달하는,유서 비슷한 에스엔에스를 남기고 연락이 없는 친구에게 열 번이 넘게 전화를 했어.
2749,F_002750,KMJ,청년,여성,대인관계,분노,안달하는,어제 이사를 했는데 친구들이 집에 갑자기 놀러온대서 급하게 청소하는 중이라 화가 나.
2750,F_002751,KMJ,청년,여성,대인관계,분노,안달하는,오늘 퇴근 전까지 꼭 끝마쳐야 할 업무가 쌓여있는데 동료 일처리가 느려 화가 나.
2751,F_002752,KMJ,청년,여성,대인관계,분노,안달하는,막차 시간이 얼마 안 남았는데 부장님이 삼 차를 가자고 해 미치겠어.
2752,F_002753,KMJ,청년,여성,대인관계,분노,안달하는,오늘까지 처리해야 하는 팀 프로젝트 보고서 때문에 동료에게 문자를 보냈는데 답장이 안 와 미치겠어.
2753,F_002754,KMJ,청년,여성,대인관계,분노,안달하는,오늘 면접시험이 있는 날인데 알람시계가 고장이 나서 아침에 늦잠 자버렸어.
2754,F_002755,KMJ,청년,여성,대인관계,분노,안달하는,대학교 입학해서 시험기간마다 친구는 여유로운 반면 나는 혼자 조급해 져 짜증나.
2755,F_002756,KMJ,청년,여성,대인관계,분노,안달하는,오늘 편의점 아르바이트를 시작한지 하루 만에 잘려서 화가 나.
2756,F_002757,KMJ,중년,여성,건강,분노,안달하는,지금부터라도 건강관리를 빨리 해야할텐데 시간이 없어서 큰일이야.
2757,F_002758,KMJ,중년,여성,건강,분노,안달하는,검강검진 결과가 아직 안 나왔어. 빨리 알려주면 좋은데.사람을 안달나게 해.
2758,F_002759,KMJ,중년,여성,건강,분노,안달하는,이러다 건강이 더 안 좋아지면 어떡하지?
2759,F_002760,KMJ,중년,여성,건강,분노,안달하는,요새 들어 친구가 내 몸이 허약하다고 잔소리를 하네. 적어도 이 친구보다는 건강해지고 싶어서 안달 나.
2760,F_002761,KMJ,중년,여성,건강,분노,안달하는,자식들과 오래 함께 살고 싶어서 열심히 운동하고 있지만 쉽지 않아. 체력 때문에 쉽게 지치게 되네.
2761,F_002762,KMJ,중년,여성,건강,분노,안달하는,난 가족들과 함께 건강하게 오래 살고 싶어. 그런데 그러기 위한 노력은 나만 하고 있는 것 같아.
2762,F_002763,KMJ,중년,여성,건강,분노,안달하는,친구가 나보고 허약하다고 잔소리를 하는데 내가 친구보다 더 건강하다는 걸 꼭 보여 줄 거야.
2763,F_002764,KMJ,중년,여성,건강,분노,안달하는,내 건강이 다시 나빠져서 기력을 잃게 되면 남편은 다른 건강한 여자를 만날 것 같아서 안달이 나.
2764,F_002765,KMJ,중년,여성,건강,분노,안달하는,알코올 중독을 앓고 있는데 주변에서 술을 권하면 나도 모르게 마시고 싶어져서 안달이 나.
2765,F_002766,KMJ,중년,여성,건강,분노,안달하는,서서히 나이가 들면서 건강했던 친구들이 몸이 아프다고 해서 불안해. 나이가 든다는 건 이런 건가 봐.
2766,F_002767,KMJ,중년,여성,건강,분노,안달하는,아직 보험 가입을 못했어. 그래서 불안하고 안달이 나.
2767,F_002768,KMJ,중년,여성,건강,분노,안달하는,아직 하고 싶은 것들이 너무 많아. 근데 건강이 나빠질까 봐 안달나.
2768,F_002769,KMJ,중년,여성,건강,분노,안달하는,나이가 드니 친한 친구들이 여기저기 아프다고 하네.
2769,F_002770,KMJ,중년,여성,건강,분노,안달하는,이달에 건강검진을 해야 하는데 날짜를 아직 정하지 못했어.
2770,F_002771,KMJ,중년,여성,건강,분노,안달하는,열심히 식사조절과 운동도 하루에 한 시간씩 꾸준히 걷기 운동을 하는데 체중은 하나도 안 빠져.
2771,F_002772,KMJ,중년,여성,건강,분노,안달하는,지난해부터 어깨가 너무 아파서 잠들기가 어려울 정도야.
2772,F_002773,KMJ,중년,여성,건강,분노,안달하는,요즘 부쩍 체중이 늘어서 너무 신경질이 나.
2773,F_002774,KMJ,중년,여성,건강,분노,안달하는,집에서만 있었더니 여행이 너무 가고 싶어.
2774,F_002775,KMJ,중년,여성,건강,분노,안달하는,나도 몸에 좋다는 것 좀 챙겨 먹어야 되겠어.
2775,F_002776,KMJ,중년,여성,건강,분노,안달하는,서서히 나이가 들면서  건강했던 친구들이 몸이 아프다고 해서 불안해.
2776,F_002777,KMJ,중년,여성,건강,분노,안달하는,아직 보험 가입을 못했어.  그래서 불안하고 조급해.
2777,F_002778,KMJ,노년,여성,"건강, 죽음",분노,안달하는,코로나바이러스 때문에 불편한 점이 많아. 방역수칙 지키느라 힘들기도 하고.
2778,F_002779,KMJ,노년,여성,"건강, 죽음",분노,안달하는,건강에 대해 안달하게 돼.
2779,F_002780,KMJ,노년,여성,"건강, 죽음",분노,안달하는,요즘 주변에 죽음을 맞이하는 사람들이 많아졌어.
2780,F_002781,KMJ,노년,여성,"건강, 죽음",분노,안달하는,혈압이 더 높아져서 건강이 너무 염려되.
2781,F_002782,KMJ,노년,여성,"건강, 죽음",분노,안달하는,건강에 나만 안달하고 있어.
2782,F_002783,KMJ,노년,여성,"건강, 죽음",분노,안달하는,자궁경부암으로 시간이 얼마 남지 않아 딸의 결혼식을 못 보고 가는 게 슬퍼.
2783,F_002784,KMJ,노년,여성,"건강, 죽음",분노,안달하는,나날이 다른 곳으로 전이되는 암 때문에 걱정이 산더미야.
2784,F_002785,KMJ,노년,여성,"건강, 죽음",분노,안달하는,지금 남편이 뺑소니를 당해서 병원에 있대. 나이도 있는데 정말 걱정이야.
2785,F_002786,KMJ,노년,여성,"건강, 죽음",분노,안달하는,요즘은 내가 너무 늙은 것 같아서 우울해. 손자가 넘어졌는데 빨리 일으켜주지도 못하고.
2786,F_002787,KMJ,노년,여성,"건강, 죽음",분노,안달하는,영숙이는 벌써 장례 준비를 다 했다고 하더라. 나도 영정 사진도 찍고 해야 하는데 마음이 복잡해.
2787,F_002788,KMJ,노년,여성,"건강, 죽음",분노,안달하는,아직도 건강이 나빠지는 게 걱정돼서 영양제를 챙겨먹고 있어.
2788,F_002789,KMJ,노년,여성,"건강, 죽음",분노,안달하는,이번 달에 아들이 영양제를 보내지 않아서 너무 화가 났어.
2789,F_002790,KMJ,노년,여성,"건강, 죽음",분노,안달하는,계속 죽음에 대해 안달하는 친구에게 화나서 장례 준비부터 해놓으라고 했어.
2790,F_002791,KMJ,노년,여성,"건강, 죽음",분노,안달하는,요새 조금이라도 몸이 안 좋으면 아침부터 병원에 찾아가. 이런 모습에 화가 나.
2791,F_002792,KMJ,노년,여성,"건강, 죽음",분노,안달하는,예전엔 취미로 등산을 했는데 이젠 건강을 위해서 아침 일찍 약수터까지 등산을 해야 해.
2792,F_002793,KMJ,노년,여성,"건강, 죽음",분노,안달하는,아직 아픈 곳은 없지만 혹시 모르니 조바심이 나서 영양제를 챙겨 먹고 있어.
2793,F_002794,KMJ,노년,여성,"건강, 죽음",분노,안달하는,지금까지는 특별히 아픈 곳이 없었는데 계속 아픈 곳 없이 살 수 있을까?
2794,F_002795,KMJ,노년,여성,"건강, 죽음",분노,안달하는,매일 운동을 하는데도 갈수록 체력이 떨어지는 게 느껴져서 화가 나.
2795,F_002796,KMJ,노년,여성,"건강, 죽음",분노,안달하는,내 속마음도 모르고 건강한 내가 보기 좋다는 사람들 때문에 화가 나.
2796,F_002797,KMJ,노년,여성,"건강, 죽음",분노,안달하는,내가 간암으로 죽기 전에 아들이 결혼했으면 좋겠어.
2797,F_002798,KMJ,노년,여성,"건강, 죽음",분노,안달하는,당뇨로 열심히 식단조절을 했다고 생각했는데 검사결과가 별로 좋아지지 않았어.
2798,F_002799,KMJ,청소년,여성,가족관계,기쁨,안도,우리 언니가 이번에 원하는 대학에 합격했어.
2799,F_002800,KMJ,청소년,여성,학업 및 진로,기쁨,안도,이번 시험성적이 생각보다 잘 나와서 안심이야.
2800,F_002801,KMJ,청소년,여성,가족관계,기쁨,안도,우리 언니가 이번에 원하는 대학에 합격했어.
2801,F_002802,KMJ,청소년,여성,학업 및 진로,기쁨,안도,이번 시험성적이 생각보다 잘 나와서 안심이야.
2802,F_002803,KMJ,청소년,여성,학업 및 진로,기쁨,안도,중간고사를 망쳤는데 담임선생님이 혼내지도 않으시고 새로운 공부법을 알려주셨어. 너무 기뻐.
2803,F_002804,KMJ,청소년,여성,학업 및 진로,기쁨,안도,성적이 안 좋게 나와서 엄마한테 혼날 줄 알았는데 그러지 않아서 다행이야.
2804,F_002805,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,평소에 나를 괴롭히던 무리가 갑자기 사과하면서 이제 친하게 지내자고 했어.
2805,F_002806,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,나는 항상 혼자 밥을 먹었는데 오늘 내 짝이 나에게 말을 걸더니 밥을 같이 먹자고 해서 기뻐.
2806,F_002807,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,드디어 학교폭력 증거를 모아서 가해자들을 신고할 수 있게 되어서 기뻐.
2807,F_002808,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,학교에서 따돌림 당했던 것으로부터 해방되어서 마음이 편해.
2808,F_002809,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,친구들 사이에서 괴롭힘을 당해서 선생님께 모든 사실을 말했는데 믿어주셔서 안도했어.
2809,F_002810,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,교내 따돌림을 신고했는데 경찰 아저씨가 꼭 가해자들이 처벌받게 하겠다고 해서 안심이야.
2810,F_002811,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,학교폭력으로 학교생활이 정말 힘들었는데 이번에 새로 생긴 법으로 안심하게 됐어.
2811,F_002812,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,나를 괴롭히던 친구들이 모두 전학을 가게 되어 너무 다행이야.
2812,F_002813,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,친구들이 나를 괴롭히지 못하도록 선생님께서 감시하신다고 하셔서 얼마나 다행인지 몰라.
2813,F_002814,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,내성적인 성격 때문에 친구가 없었는데 수학여행에 같이 다닐 친구가 생겨서 너무 기뻐.
2814,F_002815,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,나를 미워하고 괴롭히던 친구와 다른 반이 되어서 너무 다행이야.
2815,F_002816,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,드디어 학교 폭력 위원회가 열리게 되어서 너무 기뻐.
2816,F_002817,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,나를 괴롭힌 친구들이 경찰서에서 조사를 받게 되어 너무 다행이야.
2817,F_002818,KMJ,청소년,여성,학교폭력/따돌림,기쁨,안도,따돌림 때문에 힘들었는데 새로 사귄 친구들은 더 이상 나의 말을 무시하지 않아서 기뻐.
2818,F_002819,KMJ,청소년,여성,가족관계,기쁨,안도,엄마가 오늘 내 동생을 낳으셨어. 무사히 낳으셔서 다행이야.
2819,F_002820,KMJ,청년,여성,대인관계,기쁨,안도,조원들의 도움 덕분에 전공 수업 시간에 조별 발표를 무사히 마칠 수 있었어.
2820,F_002821,KMJ,청년,여성,대인관계,기쁨,안도,회사에서 실수를  했는데 상사의 도움을 받아 잘 해결됐어. 다행이야.
2821,F_002822,KMJ,청년,여성,대인관계,기쁨,안도,대학교수님이 갑자기 나를 부르셔서 긴장했는데 칭찬을 받아서 기뻤어.
2822,F_002823,KMJ,청년,여성,대인관계,기쁨,안도,한 달 동안 기획한 사업을 팀원들과 협력해서 성공적으로 끝나게 됐어.
2823,F_002824,KMJ,청년,여성,대인관계,기쁨,안도,취업문제로 많이 힘들어하던 친구가 있었는데 오늘 취업에 성공했다고 해서 다행이야.
2824,F_002825,KMJ,청년,여성,대인관계,기쁨,안도,오늘 동생이 전역해서 파티했는데 내 친구들도 함께 축하해줘서 기뻐.
2825,F_002826,KMJ,청년,여성,대인관계,기쁨,안도,애인의 부모님께 결혼 승낙을 받았는데 내 친구들이 함께 축하해줘서 기뻐.
2826,F_002827,KMJ,청년,여성,대인관계,기쁨,안도,자격증 시험을 보는 날에 늦잠을 잤는데 친구가 오토바이로 데려다줘서 늦지 않았어.
2827,F_002828,KMJ,청년,여성,대인관계,기쁨,안도,친구가 주선해줘서 소개팅을 하게 됐는데 상대가 내 스타일이었어.
2828,F_002829,KMJ,청년,여성,대인관계,기쁨,안도,나는 정말 운이 좋아. 세상에서 제일 좋은 직장 선배를 만났거든.
2829,F_002830,KMJ,청년,여성,대인관계,기쁨,안도,회사에서 야근을 해야 하는데 팀원들이 일을 거들어줘서 빨리 끝낼 수 있었어.
2830,F_002831,KMJ,청년,여성,대인관계,기쁨,안도,사업을 하다 난처한 상황에 이르렀는데 지인이 도와줘서 고비를 넘겼어.
2831,F_002832,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,일 년 동안 짝사랑 했던 사람이 있었는데 그 사람도 나에게 호감을 가진 것 같아서 기뻐.
2832,F_002833,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,오늘 고심 끝에 부모님께 내가 동성애자인 사실을 말씀드렸는데 이해해주셔서 너무 기뻐.
2833,F_002834,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,남자친구와 싸운 후에 연락을 한동안 안했는데 결국 화해하고 전보다 더 좋아져서 정말 행복해.
2834,F_002835,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,직장에서 우리의 관계가 들켰을 때 정말 마음 졸였는데 아무도 비난하지 않고 격려해줘서 기뻤어.
2835,F_002836,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,내가 좋아하는 사람이 나와 같은 성향이라는 것을 알게 되어서 기뻐.
2836,F_002837,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,오늘 부모님께서 애인과의 결혼하는 것을 흔쾌히 허락해주셔서 기뻐.
2837,F_002838,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,내가 연애하는 사실을 친구들에게 비밀로 했었는데 오늘 들통 났어.
2838,F_002839,KMJ,청년,여성,"연애,결혼,출산",기쁨,안도,애인과의 약속에서 한 시간이나 늦어서 긴장하고 왔는데 화내지 않아서 정말 다행이었어.
2839,F_002840,KMJ,청년,여성,"진로,취업,직장",기쁨,안도,마감기한 내에 일을 끝낼 수 있을까 걱정했는데 기한이 늘어나서 다행이야.
2840,F_002841,KMJ,중년,여성,건강,기쁨,안도,건강검진에서 안 좋은 결과를 받을까 봐 걱정 많이 했는데 결과가 좋게 나와서 다행이야.
2841,F_002842,KMJ,중년,여성,건강,기쁨,안도,얼마전부터 가슴통증이 있어서 병원에 다녀왔어.
2842,F_002843,KMJ,중년,여성,건강,기쁨,안도,내가 육 개월 동안 다리가 저렸잖아. 고기를 멀리하고 채소를 많이 먹었더니 많이 좋아졌어.
2843,F_002844,KMJ,중년,여성,건강,기쁨,안도,지난주에 위암이 의심된다고 정밀 검사를 받아 보자 해서 검사하고 왔는데 정말 다행이야.
2844,F_002845,KMJ,중년,여성,건강,기쁨,안도,작년 이맘때쯤 건강검진을 했는데 지방간에 혈중 콜레스테롤 수치가 조금 높다는 말을 들었었어.하지만 다행이야.
2845,F_002846,KMJ,중년,여성,건강,기쁨,안도,난 요즘 밤에 잠이 잘 안 와서 걱정이야.
2846,F_002847,KMJ,중년,여성,건강,기쁨,안도,최근에 건강검진을 받으러 갔거든. 결과가 안 좋을까봐 걱정했는데 아무 이상이 없대서 안심이 돼.
2847,F_002848,KMJ,중년,여성,건강,기쁨,안도,감기가 빨리 나아서 다행이야. 
2848,F_002849,KMJ,중년,여성,건강,기쁨,안도,기다리던 조직 검사 결과가 오늘 나왔는데 다행히 위염이라고 나와서 한시름 놨어.
2849,F_002850,KMJ,중년,여성,건강,기쁨,안도,이 년 전 건강검진에서 골다공증이 있다고 해서 많이 걱정했는데 이번에는 정상 수치래.
2850,F_002851,KMJ,중년,여성,건강,기쁨,안도,어제 태풍이 근처에 와서 바람소리도 크고 걱정도 많이 됐어.
2851,F_002852,KMJ,중년,여성,건강,기쁨,안도,어제 티브이에 나온 연예인이 엄청 아픈 병에 걸려서 고생한다니 마음이 슬프면서 다행이라 생각했어.
2852,F_002853,KMJ,중년,여성,건강,기쁨,안도,요리를 하다가 칼에 손이 많이 베여서 병원에 갔는데 다행히 인대는 안 다쳤데 얼마나 놀랐던지.
2853,F_002854,KMJ,중년,여성,건강,기쁨,안도,위가 안 좋아서 병원을 오래 다녔는데 오늘 완치 판정을 받았어.
2854,F_002855,KMJ,중년,여성,건강,기쁨,안도,나 건강검진 결과 드디어 나왔어!
2855,F_002856,KMJ,중년,여성,건강,기쁨,안도,오늘 병원에 건강검진을 하러 갔는데 유방암이었어. 그런데 유방암을 초기에 발견해서 정말 다행이야.
2856,F_002857,KMJ,중년,여성,건강,기쁨,안도,내가 방광염 때문에 불편했는데 오늘 병원에 가보니 다 나았다고 하더라고. 빨리 치료해서 너무나 다행이야.
2857,F_002858,KMJ,중년,여성,건강,기쁨,안도,내가 병원에 오래 입원해야 하는데 딸이 항상 옆에 있어서 정말 다행이야.
2858,F_002859,KMJ,중년,여성,건강,기쁨,안도,내가 신장 이식이 필요해서 병원에 치료를 받으러 갔더니 오늘 신장 기증자가 나타났다고 하네!
2859,F_002860,KMJ,중년,여성,건강,기쁨,안도,허리가 너무 아파서 허리 디스크일까 걱정을 많이 했었는데 물리치료를 받고 나서 통증이 사라져서 다행이야!
2860,F_002861,KMJ,중년,여성,건강,기쁨,안도,오늘 산부인과에 정기 검진을 받으러 갔는데 좋은 소식이 있었어. 자궁내막염이 완치되었대!
2861,F_002862,KMJ,노년,여성,"건강, 죽음",기쁨,안도,집안일을 하다가 허리를 다쳤는데 딸이 바로 병원으로 데려다 주어서 안도했어.
2862,F_002863,KMJ,노년,여성,"건강, 죽음",기쁨,안도,이웃집 박 씨가 심근경색으로 쓰러졌는데 살았다고 해서 다행이야.
2863,F_002864,KMJ,노년,여성,"건강, 죽음",기쁨,안도,갑자기 코피가 멈추지 않아 당황했는데 병원에서 큰 병은 아니라고 해서 안도했어.
2864,F_002865,KMJ,노년,여성,"건강, 죽음",기쁨,안도,혈압약만 잘 챙겨 먹으면 여행을 가도 된다고 해서 지금 기분이 아주 좋아.
2865,F_002866,KMJ,노년,여성,"건강, 죽음",기쁨,안도,해외에서 유명한 만성 질환 약이 국내에서도 구입이 가능해졌다니 너무 다행이야.
2866,F_002867,KMJ,노년,여성,"건강, 죽음",기쁨,안도,천식약을 두고 나와서 당황했는데 응급구조 팀의 도움으로 위험을 넘겨서 안도했어.
2867,F_002868,KMJ,노년,여성,"건강, 죽음",기쁨,안도,아들이 폐암 진단을 받았는데 조기에 발견해서 완치 가능하다고 하니 아주 다행이야.
2868,F_002869,KMJ,노년,여성,"건강, 죽음",기쁨,안도,남편이 죽기 전에 손자들 얼굴 보고 싶다고 했는데 다행히 늦지 않아서 안도했어.
2869,F_002870,KMJ,노년,여성,"건강, 죽음",기쁨,안도,산책하다가 넘어졌는데 골다공증에도 불구하고 부러진 곳이 없어서 안심했어.
2870,F_002871,KMJ,노년,여성,"건강, 죽음",기쁨,안도,의사가 항암치료가 효과가 있다고 하니 이제야 안심이 되네.
2871,F_002872,KMJ,노년,여성,"건강, 죽음",기쁨,안도,고혈압으로 쓰러졌지만 응급구조대가 제때 도착해서 안도했어.
2872,F_002873,KMJ,노년,여성,"건강, 죽음",기쁨,안도,요즘은 인공관절이 좋아서 수술만 잘되면 걸을 수 있다고 하니 안도가 되네.
2873,F_002874,KMJ,노년,여성,"건강, 죽음",기쁨,안도,건강 검진하기 전에 너무 무서웠고 이런 걸 왜 해야 하지 하는 생각이 들었던 것 같아.
2874,F_002875,KMJ,노년,여성,"건강, 죽음",기쁨,안도,남편 허리 검사 결과가 좋게 나와서 정말 다행이야.
2875,F_002876,KMJ,노년,여성,"건강, 죽음",기쁨,안도,노인이 되면 필요 이상으로 걱정이 많아지는 법이라네.
2876,F_002877,KMJ,노년,여성,"건강, 죽음",기쁨,안도,병원 갔다 왔는데 정말 다행이야.
2877,F_002878,KMJ,노년,여성,"건강, 죽음",기쁨,안도,계속 아파서 큰 병인줄 알았는데 큰 병은 아니라서 안도했어.
2878,F_002879,KMJ,노년,여성,"건강, 죽음",기쁨,안도,얼마 전 내가 암 검사를 받았는데 오늘 결과가 나왔어. 이상이 없대.
2879,F_002880,KMJ,노년,여성,"건강, 죽음",기쁨,안도,위가 아픈것 같아서 건강검진을 받았는데 다행히 문제가 없대.
2880,F_002881,KMJ,노년,여성,"건강, 죽음",기쁨,안도,건강에 심각한 문제가 있는 줄 알았는데 아니어서 안도했어.
2881,F_002882,KMJ,노년,여성,"건강, 죽음",기쁨,안도,내가 병원에 가서 검사를 받았는데 다행히 보험처리가 다 되는 검사라고 하네.
2882,F_002883,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,학교에서 어느 새 내가 왕따가 되었어. 너무 힘들어.
2883,F_002884,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,선생님은 내가 너무 소극적이라서 친구들을 못 사귀고 따돌림을 당한다고 생각하시는데 너무 억울해.
2884,F_002885,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,용기를 내서 나를 왕따 시키는 이유를 물어봤더니 그냥 심심해서 그렇다고 하더라. 너무 화가 나.
2885,F_002886,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,내가 뚱뚱하다는 이유만으로 친구들이 내가 싫대. 너무 괴로워.
2886,F_002887,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,나를 괴롭히는 애들이 있는데 그 애들이 내 친한 친구의 물건을 훔치고는 나를 도둑으로 몰아갔어.
2887,F_002888,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,계속 괴롭힘을 당해왔다고 선생님께 말했는데 반 친구들이 도리어 나를 거짓말쟁이로 만들었어.
2888,F_002889,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,내가 친구들 험담을 하고 다닌다고 소문이 퍼졌어. 알고 봤더니 날 싫어하던 애가 그런 거더라고.
2889,F_002890,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,날 괴롭히는 애들이 내가 커닝을 했다고 신고했어. 난 커닝하지 않았는데.
2890,F_002891,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,나는 태어날 때부터 뇌에 문제가 있어서 한글도 다 못 깨우쳤어. 그래서 따돌림을 당하는데 힘들어.
2891,F_002892,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,원래부터 나는 성격이 활발했는데 내가 너무 나댄다고 친구들끼리 내 험담을 하고 있었단 걸 오늘 알았어.
2892,F_002893,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,내가 눈치를 너무 많이 봤나 봐. 친구들이 내가 줏대가 없다고 결국 따돌림을 당하게 됐어.
2893,F_002894,KMJ,청소년,여성,학교폭력/따돌림,상처,억울한,부모님이 사주시는 대로 그냥 입고 다녔는데. 친구들이 내가 돈 자랑을 한다고 싫어해. 난 그게 아닌데.
2894,F_002895,KMJ,청소년,여성,학업 및 진로,상처,억울한,내 기준에서는 열심히 공부하는데 우리 부모님은 내가 공부를 열심히 하지 않는다고 생각하셔.
2895,F_002896,KMJ,청소년,여성,학업 및 진로,상처,억울한,남자애들이 교무실 유리창을 깼는데 우리 반 전체가 혼이 났어. 아무 잘못도 없는데 혼나니까 억울해.
2896,F_002897,KMJ,청소년,여성,학업 및 진로,상처,억울한,친구가 수업 시간에 방금 내용을 못 들어서 질문을 나에게 했는데 선생님이 떠들었다고 하시면서 혼을 내셨어.
2897,F_002898,KMJ,청소년,여성,학업 및 진로,상처,억울한,쪽지시험을 열심히 나 혼자 힘으로 풀었는데 커닝했다고 오해를 받았어.
2898,F_002899,KMJ,청소년,여성,학업 및 진로,상처,억울한,오늘 청소 시간에 내가 맡은 청소구역이 아닌 창문을 깨끗하게 안 닦았다고 선생님께 혼이 났어.
2899,F_002900,KMJ,청소년,여성,학업 및 진로,상처,억울한,어제 저녁까지 과제를 열심히 했는데 아침에 챙기는 것을 잊고 집에 놓고 와서 수행평가 점수가 깎였어.
2900,F_002901,KMJ,청소년,여성,학업 및 진로,상처,억울한,조별과제에 열심히 참여하지 않는 친구 것까지 도맡아서 해서 과제가 두 배가 되었지 뭐야.
2901,F_002902,KMJ,청소년,여성,학업 및 진로,상처,억울한,오늘 시험을 쳤는데 시험지에는 잘 풀었는데 답안지 카드에 밀려 써서 시험이 망했어. 어떡해.
2902,F_002903,KMJ,청소년,여성,가족관계,상처,억울한,오빠가 먼저 나한테 욕을 했는데 엄마는 나한테만 뭐라 해서 억울해.
2903,F_002904,KMJ,청년,여성,"연애,결혼,출산",상처,억울한,내가 정말 사랑했던 그에게 다른 애인이 여러 명 있었어.
2904,F_002905,KMJ,청년,여성,"연애,결혼,출산",상처,억울한,애인과 데이트 할 때 나만 비용을 많이 부담하는 것 같아서 조금 억울한 기분이 들어.
2905,F_002906,KMJ,청년,여성,"연애,결혼,출산",상처,억울한,사회에 우리 부부와 같은 형태의 가정을 지원하는 제도가 없어서 너무 속상해.
2906,F_002907,KMJ,청년,여성,"연애,결혼,출산",상처,억울한,우리 부부에 대한 사회의 시선이 좋지 않은 것 같아 속상해.
